size,bubbleSort_comparisons,bubbleSort_copy,insertionSort_comparisons,insertionSort_copy,selectionSort_comparisons,selectionSort_copy,sort_comparisons,sort_copy,stableSort_comparisons,stableSort_copy
10,45,4,45,20,11,11,22,4,15,12
25,300,90,300,50,69,69,110,38,75,55
50,1225,328,1225,100,213,213,230,62,195,124
100,4950,1916,4950,200,1057,1057,607,171,497,330
250,31125,12672,31125,500,6585,6585,2032,700,1607,1020
500,124750,52530,124750,1000,26764,26764,4749,1751,3612,2190
1000,499500,239908,499500,2000,120953,120953,10228,3785,8421,5011
2500,3.12375e+06,1.44964e+06,3.12375e+06,5000,727319,727319,30107,10805,24150,14037
5000,1.24975e+07,5.92824e+06,1.24975e+07,10000,2.96912e+06,2.96912e+06,64850,21642,53475,30884
10000,4.9995e+07,2.38798e+07,4.9995e+07,20000,1.19499e+07,1.19499e+07,139528,46208,116926,66313
