size,bubbleSort_comparisons,bubbleSort_copy,insertionSort_comparisons,insertionSort_copy,selectionSort_comparisons,selectionSort_copy,sort_comparisons,sort_copy,stableSort_comparisons,stableSort_copy
10,45,90,45,20,45,54,21,10,25,30
25,300,600,300,50,300,324,76,24,66,77
50,1225,2450,1225,100,1225,1274,152,50,209,232
100,4950,9900,4950,200,4950,5049,302,100,364,408
250,31125,62250,31125,500,31125,31374,752,250,1487,1604
500,124750,249500,124750,1000,124750,125249,1502,500,2504,2732
1000,499500,999000,499500,2000,499500,500499,4011,1016,6948,7416
2500,3.12375e+06,6.2475e+06,3.12375e+06,5000,3.12375e+06,3.12625e+06,10015,2516,16228,17380
5000,1.24975e+07,2.4995e+07,1.24975e+07,10000,1.24975e+07,1.25025e+07,20023,5016,32004,32712
10000,4.9995e+07,9.999e+07,4.9995e+07,20000,4.9995e+07,5.0005e+07,40023,10016,74912,79520
