size,bubbleSort_comparisons,bubbleSort_copy,insertionSort_comparisons,insertionSort_copy,selectionSort_comparisons,selectionSort_copy,sort_comparisons,sort_copy,stableSort_comparisons,stableSort_copy
10,45,0,45,20,9,9,20,0,13,10
25,300,0,300,50,24,24,50,0,53,50
50,1225,0,1225,100,49,49,100,0,115,100
100,4950,0,4950,200,99,99,200,0,312,300
250,31125,0,31125,500,249,249,500,0,835,750
500,124750,0,124750,1000,499,499,1000,0,2100,2000
1000,499500,0,499500,2000,999,999,2002,0,4340,4000
2500,3.12375e+06,0,3.12375e+06,5000,2499,2499,5002,0,13140,12500
5000,1.24975e+07,0,1.24975e+07,10000,4999,4999,10002,0,29804,30000
10000,4.9995e+07,0,4.9995e+07,20000,9999,9999,20002,0,62560,60000
