size,bubbleSort_comparisons,bubbleSort_copy,insertionSort_comparisons,insertionSort_copy,selectionSort_comparisons,selectionSort_copy,sort_comparisons,sort_copy,stableSort_comparisons,stableSort_copy
10,45,52,45,20,32,35,25,16,25,24
25,300,276,300,50,161,162,108,69,88,65
50,1225,1258,1225,100,677,678,278,142,240,170
100,4950,4720,4950,200,2458,2459,665,345,539,348
250,31125,29218,31125,500,14855,14858,2071,1057,1821,1214
500,124750,122762,124750,1000,61879,61880,4920,2368,3888,2355
1000,499500,501836,499500,2000,251915,251917,10455,5142,9079,5642
2500,3.12375e+06,3.04693e+06,3.12375e+06,5000,1.52596e+06,1.52596e+06,31228,14540,25395,14952
5000,1.24975e+07,1.24465e+07,1.24975e+07,10000,6.22822e+06,6.22823e+06,66625,31392,55253,31324
10000,4.9995e+07,4.98453e+07,4.9995e+07,20000,2.49326e+07,2.49326e+07,144346,67639,121570,69761
