size,bubble_sort,selection_sort,insertion_sort,sort,stable_sort
10,0.000792,0.001458,0.000708,0.000542,0.000708
25,0.002000,0.004833,0.001833,0.000208,0.001125
50,0.006417,0.016084,0.004792,0.000625,0.003125
100,0.026583,0.058833,0.019417,0.001292,0.012209
250,0.163459,0.350125,0.110125,0.004250,0.034500
500,1.034500,3.612375,1.294708,0.015208,0.261750
1000,4.549958,5.458042,1.936917,0.022167,0.169875
2500,17.404750,35.873500,11.494000,0.063208,0.388500
5000,79.916167,147.843666,49.237458,0.126333,1.067292
10000,294.141333,572.513000,227.576875,0.270708,1.780416
