size,bubble_sort,selection_sort,insertion_sort,sort,stable_sort
10,0.000584,0.001333,0.001417,0.000458,0.001167
25,0.002250,0.004791,0.006291,0.000333,0.003584
50,0.008250,0.016042,0.021709,0.000417,0.013208
100,0.032000,0.059000,0.082166,0.000708,0.050500
250,0.196083,0.350833,0.512666,0.000792,0.085000
500,0.785833,1.381167,2.008000,0.001084,0.320583
1000,3.125833,5.482958,7.880500,0.002625,0.353542
2500,19.561041,39.384542,64.733834,0.006041,0.638708
5000,84.643000,152.229750,215.034958,0.010958,2.218542
10000,360.469500,620.071750,923.990750,0.019750,2.704125
