size,bubble_sort,selection_sort,insertion_sort,sort,stable_sort
10,0.000459,0.001167,0.000542,0.000584,0.000417
25,0.001375,0.004292,0.000917,0.000084,0.000417
50,0.004584,0.014750,0.001667,0.000375,0.000708
100,0.017125,0.055041,0.003250,0.000292,0.001333
250,0.103583,0.331333,0.007791,0.000500,0.007709
500,0.421833,1.329750,0.016041,0.000750,0.014666
1000,1.659417,5.240250,0.030750,0.001458,0.044250
2500,10.162959,32.702625,0.076834,0.003083,0.147667
5000,48.304083,157.266250,0.158792,0.006083,0.298375
10000,182.909500,630.540041,0.315667,0.010958,0.752583
